zone_id,name,type,capacity,x_coord,y_coord,facilities
Z1,North Stand,seating,8000,50,15,"Toilets, Refreshments, Emergency Exit"
Z2,South Stand,seating,8000,50,85,"Toilets, Refreshments, First Aid"
Z3,East Stand,seating,6000,85,50,"Toilets, Refreshments"
Z4,West Stand,seating,6000,15,50,"Toilets, Refreshments, Viewing Platform"
Z5,VIP Lounge,premium,500,62,40,"Private Bar, Lounge Seating, Toilets, Catering"
Z6,Press Box,media,200,40,33,"Media Desks, Commentary Booths, Toilets"
Z7,Food Court A,amenity,1000,72,20,"Multiple Food Stalls, Seating, ATM"
Z8,Food Court B,amenity,1000,28,80,"Multiple Food Stalls, Seating, ATM"
Z9,Medical Center,emergency,100,50,90,"First Aid, Ambulance Bay, Defibrillator"
Z10,Concourse L1 North,circulation,2000,50,22,"Toilets, Info Desk, Sponsor Zone"
Z11,Concourse L1 South,circulation,2000,50,78,"Toilets, Merchandise Shop"
Z12,Concourse L1 East,circulation,1500,78,50,"Toilets, Souvenir Shop"
Z13,Concourse L1 West,circulation,1500,22,50,"Toilets, Fan Zone"
Z14,Gate A – Main Entry,entrance,5000,50,3,"Ticket Scanners, Security, Bag Check"
Z15,Gate B – South Entry,entrance,3000,50,97,"Ticket Scanners, Security"
